Time,Reporter,Type,Content,Screenshot,RTF Note
14.08.2017 22:04:14,Arkivar Team,Test,"INTEGERFELD: enter ''0'' (zero) as value",16_20170814_220421.jpg,
14.08.2017 22:05:18,Arkivar Team,Check,"INTEGERFELD: upload was successful on all devices and value is the same on IMS server",17_20170814_220425.jpg,
14.08.2017 22:05:48,Arkivar Team,Check,"INTEGERFELD: enter ''-9999999999999'' as value",18_20170814_220557.jpg,
14.08.2017 22:06:26,Arkivar Team,Bug,"Upload fails on all devices with error",20_20170814_220609.jpg,
14.08.2017 22:07:38,Arkivar Team,Check,"INTEGERFELD: enter ''ninethousand'' as value",21_20170814_220744.jpg,
14.08.2017 22:08:03,Arkivar Team,Check,"validation check appears on all devices",22_20170814_220751.jpg,
14.08.2017 22:09:21,Arkivar Team,Test,"KEYWORDDUAL: double tap/click on field",,
14.08.2017 22:10:37,Arkivar Team,Bug,"iPhone and Android Phone: keywordselection page is loaded twice",,
14.08.2017 22:13:53,Arkivar Team,Note,"May be fixed by #592",,
14.08.2017 22:14:58,Arkivar Team,Check,"KEYWORDDUAL: select ''99.'' as value",,
14.08.2017 22:15:41,Arkivar Team,Check,"Upload was successful on all devices; KEYWORDDUAL field data has arrived on IMS server",24_20170814_221511.jpg,
14.08.2017 22:17:42,Arkivar Team,Note,"Arkivar does not upload keyword fields the same as the full IMS client (only the last value; not with the full path)",,
14.08.2017 22:18:14,Arkivar Team,Test,"KEYWORDSINGLE: select ''Radhaus hinten rechts'' as value",,
14.08.2017 22:18:46,Arkivar Team,Check,"upload from all devices sucessful; KEYWORDSINGLE field data has arrived on IMS server",25_20170814_221834.jpg,
14.08.2017 22:19:25,Arkivar Team,Test,"TIMEFELD: use ''23:59:59'' as value",,
14.08.2017 22:19:55,Arkivar Team,Check,"all devices uploaded successfully; value arrived correctly at IMS server",26_20170814_221935.jpg,
14.08.2017 22:20:39,Arkivar Team,Test,"TEXTFELD: enter very long string",,
14.08.2017 22:20:53,Arkivar Team,Bug,"Android Phone: field is not visible at all",,
14.08.2017 22:21:10,Arkivar Team,Bug,"iPhone: field only visible when starting to type",,
14.08.2017 22:23:37,Arkivar Team,Bug,"Browser: error appears when copying 100000 words into field",27_20170814_222243.jpg,
14.08.2017 22:24:29,Arkivar Team,Bug,"iPhone: text is hidden by big green upload button",,
14.08.2017 22:24:60,Arkivar Team,Note,"Time is up; good work everyone!",,
14.08.2017 22:24:56,Arkivar Team,Session End. Duration,"00:41:38",,
